stud_id,g1a,g2a,g3a,g4a,g5a,g_total,s1,s2,s3,s4,chinese,english,matha,mathb,mathc,track,indrg,indrs,ind42
02309,12,4,6,9,11,42,45.1699981689453,10.6700000762939,15,39, , , , , ,3.考試分發,1,1,0
02318,13,14,6,12,11,56,57.8699989318848,52.5,0,66.5999984741211, , , , , ,3.考試分發,1,1,0
02320,14,15,10,14,9,62,77.4700012207031,70.3300018310547,0,41.5999984741211, , , , , ,3.考試分發,1,1,0
02330, , , , , , , , , , ,66,32, ,40, ,3.考試分發,0,0,1
02341, , , , , , , , , , ,74,88, ,72, ,3.考試分發,0,0,1
02347,10,10,5,9,11,45, , , , , , , , , ,2.個人申請,1,0,0
02350, , , , , , , , , , ,62,76, ,64, ,1.學校推薦,0,0,1
02355,12,6,2,9,8,37, , , , ,66,66,56, , ,3.考試分發,1,0,1
02369, , , , , , , , , , ,88,62, ,48, ,1.學校推薦,0,0,1
02377,8,9,4,10,11,42,42.5999984741211,14.1099996566772,38.7000007629395,49.2999992370605, , , , , ,3.考試分發,1,1,0
02401, , , , , , , , , , ,76,42, ,80, ,3.考試分發,0,0,1
02417,11,8,10,9,11,49,62,31.8299999237061,42.7000007629395,54.7999992370605,86,84,92, , ,3.考試分發,1,1,1
02424, , , , , , , , , , ,72,48,64, , ,1.學校推薦,0,0,1
02425,11,7,5,10,6,39,48.5999984741211,11.1099996566772,0,23.2000007629395, , , , , ,3.考試分發,1,1,0
02430,15,15,15,14,15,74, , , , , , , , , ,2.個人申請,1,0,0
02438,8,6,3,6,5,28, , , , , , , , , ,2.個人申請,1,0,0
02440,7,4,4,6,3,24,30.5,16.3299999237061,0,9.39999961853027, , , , , ,3.考試分發,1,1,0
02443,11,6,10,11,11,49,54.4000015258789,27.3299999237061,53.4000015258789,54.2000007629395, , , , , ,3.考試分發,1,1,0
02448, , , , , , , , , , ,80,82, ,64, ,3.考試分發,0,0,1
02456,15,15,12,15,14,71, , , , , , , , , ,1.學校推薦,1,0,0
02458,13,13,8,12,6,52,60.7299995422363,46.7799987792969,0,51.5999984741211, , , , , ,3.考試分發,1,1,0
02459,11,10,8,11,10,50,61.6699981689453,27.1100006103516,45.5999984741211,36.5, , , , , ,3.考試分發,1,1,0
02463,10,10,6,11,7,44,58.5299987792969,44.6100006103516,0,24, , , , , ,3.考試分發,1,1,0
02478,12,10,8,12,12,54,55.4700012207031,27.5,33.9000015258789,55.2999992370605, , , , , ,3.考試分發,1,1,0
02487,11,8,4,8,6,37, , , , , , , , , ,4.獨立招生,1,0,0
02489,11,11,3,10,8,43,44,31.0599994659424,0,36.7999992370605, , , , , ,3.考試分發,1,1,0
02491,14,10,6,12,9,51,67.870002746582,29.4400005340576,0,40.5, , , , , ,3.考試分發,1,1,0
02494, , , , , , , , , , ,48,58, ,44, ,4.獨立招生,0,0,1
02517, , , , , , , , , , ,84,70, ,64, ,3.考試分發,0,0,1
02534,14,14,8,12,9,57,68.5699996948242,65.6699981689453,0,74.5999984741211, , , , , ,3.考試分發,1,1,0
02536, , , , , , , , , , ,74,38,96, , ,3.考試分發,0,0,1
02543, , , , , , , , , , , , , , , ,-,0,0,0
02546,12,11,9,11,12,55,59.9000015258789,25.7199993133545,36.2999992370605,91, , , , , ,3.考試分發,1,1,0
02547, , , , , , , , , , ,52,42,28, , ,3.考試分發,0,0,1
02557,9,10,14,10,12,55, , , , , , , , , ,2.個人申請,1,0,0
02562,15,13,8,14,10,60, , , , , , , , , ,2.個人申請,1,0,0
02564,13,13,9,11,9,55,67.9700012207031,66.3300018310547,0,39.9000015258789, , , , , ,3.考試分發,1,1,0
02567,5,3,5,8,5,26, , , , , , , , , ,4.獨立招生,1,0,0
02568, , , , , , , , , , ,70,38, ,40, ,3.考試分發,0,0,1
02574,7,5,3,6,4,25, , , , ,54,38,20, , ,1.學校推薦,1,0,1
02576, , , , , , , , , , ,44,30, ,16, ,1.學校推薦,0,0,1
02580,14,9,10,11,10,54,67.7699966430664,30.6100006103516,39.7999992370605,51.2000007629395, , , , , ,3.考試分發,1,1,0
02585,7,4,3,7,4,25, , , , , , , , , ,4.獨立招生,1,0,0
02590,10,9,12,9,11,51,54.5,26.1700000762939,39.5999984741211,66.9000015258789, , , , , ,3.考試分發,1,1,0
02594, , , , , , , , , , ,76,26, ,32, ,3.考試分發,0,0,1
02595, , , , , , , , , , ,48,34, ,24, ,3.考試分發,0,0,1
02599,12,11,6,13,11,53, , , , , , , , , ,2.個人申請,1,0,0
02602,12,8,3,11,10,44,61.9300003051758,30.1100006103516,0,29.7000007629395, , , , , ,3.考試分發,1,1,0
02606, , , , , , , , , , , , , , , ,-,0,0,0
02607, , , , , , , , , , ,30,32,24, , ,3.考試分發,0,0,1
02612,13,11,12,10,12,58,67.5299987792969,52,43.2999992370605,92.8000030517578, , , , , ,3.考試分發,1,1,0
02618,10,6,1,12,9,38,34.2700004577637,12.3299999237061,0,16.7999992370605, , , , , ,3.考試分發,1,1,0
02622,12,8,2,8,7,37,52,18.2199993133545,0,12.8000001907349, , , , , ,3.考試分發,1,1,0
02632, , , , , , , , , , ,60,52,84, , ,3.考試分發,0,0,1
02642,12,14,10,11,12,59,54.7999992370605,68.5,57.4000015258789,65.5999984741211, , , , , ,3.考試分發,1,1,0
02645,11,8,6,9,11,45, , , , , , , , , ,1.學校推薦,1,0,0
02650,9,10,11,11,13,54, , , , , , , , , ,2.個人申請,1,0,0
02656,10,6,4,8,6,34,41.2700004577637,9.32999992370605,0,12.8000001907349, , , , , ,3.考試分發,1,1,0
02657,11,10,4,14,10,49,59.4000015258789,29.3299999237061,0,59.7999992370605, , , , , ,3.考試分發,1,1,0
02674,9,4,6,10,4,33,35.3300018310547,13.3299999237061,0,37.2000007629395, , , , , ,3.考試分發,1,1,0
02682, , , , , , , , , , ,62,36, ,36, ,1.學校推薦,0,0,1
02683,14,12,9,12,13,60,66.9700012207031,68.5,46.7999992370605,70.3000030517578, , , , , ,3.考試分發,1,1,0
02691,13,7,12,11,13,56,58.2700004577637,18.9400005340576,48.9000015258789,0, , , , , ,3.考試分發,1,1,0
02694,9,5,2,9,5,30, , , , ,64,52,48, , ,3.考試分發,1,0,1
02703,8,6,6,10,7,37, , , , , , , , , ,4.獨立招生,1,0,0
02704, , , , , , , , , , ,54,32, ,48, ,-,0,0,1
02707,9,3,5,10,7,34,55.6699981689453,8.5,0,23.2999992370605, , , , , ,3.考試分發,1,1,0
02713,11,5,6,11,10,43,51.8699989318848,7.78000020980835,29.6000003814697,32.9000015258789, , , , , ,3.考試分發,1,1,0
